sample_id,stream_group,minor_stream_group,date,glacial_frac,glacial_frac_sd,snowpack_frac,snowpack_frac_sd,prcp_act_frac,prcp_act_frac_sd,lentic_frac,lentic_frac_sd
2018_225_SouthRiverMouth_1,Sioraq,Sioraq Mouth,16/08/2018,0.822,0.246,0.098,0.182,0.059,0.13,0.022,0.063
2018_235_FoxCanyonNorthFork_1,Sioraq,Sioraq Tuto,20/07/2018,0.426,0.362,0.37,0.323,0.174,0.26,0.03,0.071
2018_245_SouthRiverMouth_1,Sioraq,Sioraq Mouth,30/07/2018,0.455,0.355,0.253,0.286,0.254,0.298,0.038,0.086
2018_246_FoxCanyonNorthFork_1,Sioraq,Sioraq Tuto,27/07/2018,0.437,0.342,0.187,0.249,0.325,0.322,0.052,0.107
2018_247_FoxCanyonSouthFork_1,Sioraq,Sioraq Pingorsuit,27/07/2018,0.546,0.363,0.266,0.295,0.16,0.248,0.029,0.069
2018_249_FertilizerRidgeFlow_1,Sioraq,Sioraq Blackmoss,01/08/2018,0.437,0.344,0.18,0.252,0.334,0.325,0.05,0.105
2018_255_FoxCanyonNorthFork_1,Sioraq,Sioraq Tuto,03/08/2018,0.711,0.312,0.141,0.22,0.121,0.207,0.027,0.069
2018_256_FoxCanyonSouthFork_1,Sioraq,Sioraq Pingorsuit,03/08/2018,0.624,0.345,0.295,0.303,0.064,0.141,0.018,0.05
2018_257_SouthRiverMouth_1,Sioraq,Sioraq Mouth,04/08/2018,0.632,0.336,0.143,0.222,0.184,0.256,0.041,0.093
2018_268_SouthRiverMouth_1,Sioraq,Sioraq Mouth,20/08/2018,0.813,0.257,0.107,0.193,0.06,0.137,0.02,0.057
2019_004_SouthRiverMouth_17072019,Sioraq,Sioraq Mouth,17/07/2019,0.837,0.238,0.085,0.171,0.059,0.139,0.019,0.054
2019_005_FoxRiverBridgeNorthFork_17072019,Sioraq,Sioraq Tuto,17/07/2019,0.796,0.261,0.082,0.163,0.091,0.176,0.031,0.079
2019_006_FoxRiverBridgeSouthFork_17072019,Sioraq,Sioraq Pingorsuit,17/07/2019,0.847,0.232,0.099,0.187,0.039,0.103,0.015,0.052
2019_007_FoxRiverBridgeJoint_17072019,Sioraq,Other Sioraq,17/07/2019,0.837,0.236,0.084,0.166,0.058,0.138,0.021,0.061
2019_008_FertilizerRidgeDrainage_17072019,Sioraq,Sioraq Blackmoss,17/07/2019,0.811,0.249,0.074,0.154,0.08,0.165,0.034,0.086
2019_017_FoxRiverBridgeNorthFork_18072019,Sioraq,Sioraq Tuto,18/07/2019,0.827,0.242,0.096,0.185,0.058,0.132,0.019,0.054
2019_018_FoxRiverBridgeSouthFork_18072019,Sioraq,Sioraq Pingorsuit,18/07/2019,0.808,0.257,0.113,0.2,0.06,0.133,0.02,0.054
2019_026_SouthRiverMouth_19072019,Sioraq,Sioraq Mouth,19/07/2019,0.834,0.245,0.111,0.2,0.041,0.105,0.014,0.046
2019_059_SouthRiverMouth_22072019,Sioraq,Sioraq Mouth,22/07/2019,0.817,0.245,0.069,0.154,0.081,0.163,0.033,0.086
2019_093_FoxRiverBridgeNorthFork_25072019,Sioraq,Sioraq Tuto,25/07/2019,0.847,0.225,0.075,0.158,0.057,0.139,0.02,0.061
2019_094_FoxRiverBridgeSouthFork_25072019,Sioraq,Sioraq Pingorsuit,25/07/2019,0.747,0.279,0.065,0.145,0.119,0.212,0.069,0.131
2019_148_FertilizerRidgeDrainageJointFlow_27072019,Sioraq,Sioraq Blackmoss,27/07/2019,0.8,0.254,0.082,0.167,0.083,0.17,0.035,0.083
2019_149_FertilizerRidgeDrainageEastFork_27072019,Sioraq,Sioraq Blackmoss,27/07/2019,0.837,0.234,0.083,0.168,0.059,0.138,0.021,0.057
2019_150_FertilizerRidgeDrainageSouthFork_27072019,Sioraq,Sioraq Blackmoss,27/07/2019,0.804,0.254,0.079,0.166,0.083,0.169,0.034,0.081
