sample_id,stream_group,minor_stream_group,date,glacial_frac,glacial_frac_sd,snowpack_frac,snowpack_frac_sd,prcp_act_frac,prcp_act_frac_sd,lentic_frac,lentic_frac_sd
2018_010_NorthRiverMouth_1,Pituffik,Pituffik Mouth,18/06/2018,0.284,0.218,0.561,0.243,0.129,0.196,0.025,0.054
2018_032_NorthRiverMouth_1,Pituffik,Pituffik Mouth,23/06/2018,0.278,0.213,0.607,0.229,0.094,0.16,0.021,0.047
2018_033_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,23/06/2018,0.172,0.15,0.767,0.165,0.047,0.093,0.014,0.034
2018_043_NorthRiverMouth_1,Pituffik,Pituffik Mouth,27/06/2018,0.32,0.236,0.526,0.246,0.129,0.199,0.025,0.054
2018_044_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,27/06/2018,0.155,0.137,0.786,0.157,0.045,0.089,0.014,0.035
2018_047_IceWallStream_1,Pituffik,Pituffik Ice Wall Head,27/06/2018,0.161,0.14,0.765,0.167,0.057,0.111,0.016,0.037
2018_089_NorthRiverMouth_1,Pituffik,Pituffik Mouth,02/07/2018,0.326,0.243,0.267,0.237,0.359,0.295,0.048,0.091
2018_134_NorthRiverMouth_1,Pituffik,Pituffik Mouth,08/07/2018,0.46,0.273,0.374,0.25,0.139,0.196,0.027,0.058
2018_135_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,08/07/2018,0.581,0.273,0.306,0.24,0.09,0.147,0.023,0.056
2018_136_NorthRiverShelter5.8_08.07.18,Pituffik,Pituffik Ice Wall,08/07/2018,0.296,0.224,0.591,0.234,0.09,0.155,0.023,0.051
2018_140_NorthRiverMouth_1,Pituffik,Pituffik Mouth,11/07/2018,0.34,0.249,0.351,0.258,0.271,0.275,0.038,0.076
2018_141_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,11/07/2018,0.484,0.278,0.305,0.239,0.175,0.22,0.036,0.071
2018_142_NorthRiverShelter5.8_11.07.18,Pituffik,Pituffik Ice Wall,11/07/2018,0.167,0.147,0.772,0.165,0.046,0.093,0.014,0.035
2018_198_NorthRiverMouth_1,Pituffik,Pituffik Mouth,07/08/2018,0.675,0.248,0.187,0.192,0.103,0.161,0.035,0.079
2018_208_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,10/08/2018,0.628,0.263,0.182,0.195,0.145,0.197,0.044,0.084
2018_209_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,10/08/2018,0.622,0.266,0.233,0.219,0.114,0.171,0.03,0.067
2018_211_IceWallStream_1,Pituffik,Pituffik Ice Wall Head,10/08/2018,0.646,0.257,0.215,0.204,0.109,0.166,0.03,0.064
2018_217_NorthRiverMouth_1,Pituffik,Pituffik Mouth,15/08/2018,0.669,0.255,0.231,0.216,0.077,0.129,0.023,0.053
2018_218_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,15/08/2018,0.676,0.253,0.222,0.212,0.076,0.137,0.025,0.056
2018_219_NorthRiverShelter5.8_15.08.18,Pituffik,Pituffik Ice Wall,15/08/2018,0.567,0.267,0.233,0.215,0.16,0.202,0.04,0.077
2018_231_NorthRiverMouth_1,Pituffik,Pituffik Mouth,19/07/2018,0.489,0.281,0.357,0.253,0.128,0.186,0.026,0.059
2018_232_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,19/07/2018,0.491,0.273,0.22,0.211,0.238,0.249,0.051,0.091
2018_242_NorthRiverMouth_1,Pituffik,Pituffik Mouth,30/07/2018,0.459,0.276,0.323,0.246,0.182,0.223,0.036,0.071
2018_243_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,30/07/2018,0.313,0.23,0.137,0.169,0.419,0.323,0.132,0.177
2018_244_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,30/07/2018,0.269,0.22,0.311,0.253,0.375,0.307,0.045,0.089
2018_252_NorthRiverMouth_1,Pituffik,Pituffik Mouth,03/08/2018,0.521,0.277,0.262,0.226,0.178,0.22,0.038,0.078
2018_253_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,03/08/2018,0.238,0.198,0.089,0.118,0.399,0.361,0.274,0.262
2018_254_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,03/08/2018,0.488,0.271,0.354,0.241,0.13,0.185,0.028,0.061
2018_280_NorthRiverMouth_1,Pituffik,Pituffik Mouth,20/08/2018,0.62,0.265,0.274,0.229,0.084,0.141,0.022,0.052
2019_001_NorthRiverMouth_17072019,Pituffik,Pituffik Mouth,17/07/2019,0.63,0.26,0.231,0.212,0.11,0.165,0.029,0.061
2019_002_NorthRiverShelter2SouthFork_17072019,Pituffik,Pituffik Snoutwash,17/07/2019,0.647,0.261,0.252,0.228,0.077,0.132,0.024,0.054
2019_003_NorthRiverShelter5.8_17072019,Pituffik,Pituffik Ice Wall,17/07/2019,0.635,0.258,0.224,0.209,0.11,0.162,0.03,0.063
2019_023_NorthRiverMouth_19072019,Pituffik,Pituffik Mouth,19/07/2019,0.576,0.271,0.314,0.24,0.086,0.137,0.023,0.054
2019_024_NorthRiverShelterSouthFork_19072019,Pituffik,Pituffik Snoutwash,19/07/2019,0.594,0.266,0.299,0.237,0.084,0.139,0.023,0.051
2019_025_NorthRiverShelter5.8_19072019,Pituffik,Pituffik Ice Wall,19/07/2019,0.576,0.277,0.312,0.245,0.088,0.144,0.024,0.051
2019_056_NorthRiverMouth_22072019,Pituffik,Pituffik Mouth,22/07/2019,0.65,0.252,0.168,0.18,0.134,0.182,0.048,0.091
2019_057_NorthRiverShelter2SouthFork_22072019,Pituffik,Pituffik Snoutwash,22/07/2019,0.653,0.252,0.159,0.179,0.138,0.19,0.05,0.091
2019_058_NorthRiverShelter5.8_22072019,Pituffik,Pituffik Ice Wall,22/07/2019,0.681,0.247,0.222,0.212,0.073,0.123,0.024,0.054
2019_088_NorthRiverShelter2SouthFork_23072019,Pituffik,Pituffik Snoutwash,23/07/2019,0.631,0.262,0.18,0.19,0.144,0.191,0.045,0.088
2019_117_IceWallRiver_NriverHead_25072019,Pituffik,Pituffik Ice Wall Head,25/07/2019,0.625,0.267,0.233,0.218,0.113,0.168,0.029,0.063
2019_142_NorthRiverMouth_26072019,Pituffik,Pituffik Mouth,26/07/2019,0.4,0.25,0.142,0.165,0.34,0.299,0.119,0.157
2019_143_NorthRiverShelter2SouthFork_26072019,Pituffik,Pituffik Snoutwash,26/07/2019,0.62,0.261,0.24,0.219,0.112,0.162,0.028,0.061
2019_144_NorthRiverShelter5.8_26072019,Pituffik,Pituffik Ice Wall,26/07/2019,0.629,0.26,0.266,0.226,0.08,0.131,0.024,0.056
2019_197_NorthRiverMouth_30072019,Pituffik,Pituffik Mouth,30/07/2019,0.64,0.255,0.219,0.205,0.107,0.158,0.033,0.07
2019_198_NorthRiverShelter2SouthFork_30072019,Pituffik,Pituffik Snoutwash,30/07/2019,0.65,0.261,0.244,0.223,0.082,0.138,0.024,0.059
2019_199_NorthRiverShelter5.8_30072019,Pituffik,Pituffik Ice Wall,30/07/2019,0.478,0.267,0.158,0.179,0.28,0.273,0.084,0.127
2019_200_NorthRiverMouthLateAfternoonMaxFlow_30072019,Pituffik,Pituffik Mouth,30/07/2019,0.401,0.254,0.139,0.165,0.336,0.3,0.124,0.166
2019_209_IceWallRiverHikeStart_31072019,Pituffik,Pituffik Ice Wall Head,31/07/2019,0.627,0.259,0.175,0.188,0.154,0.2,0.044,0.081
2019_210_IceWallRiverHikeEnd_31072019,Pituffik,Pituffik Ice Wall Head,31/07/2019,0.663,0.255,0.2,0.206,0.105,0.156,0.032,0.069
2019_211_IceWallRiverUpperIceWall_31072019,Pituffik,Pituffik Ice Wall Head,31/07/2019,0.65,0.258,0.217,0.208,0.104,0.158,0.029,0.06
2019_212_IceWallRiverBelowWaterslide_31072019,Pituffik,Pituffik Ice Wall Head,31/07/2019,0.674,0.245,0.19,0.192,0.104,0.156,0.032,0.066
2019_213_IceWallRiverMiddleWaterslide_31072019,Pituffik,Pituffik Ice Wall Head,31/07/2019,0.672,0.254,0.226,0.214,0.078,0.133,0.024,0.055
2019_214_IceWallRiverUpperWaterslide_31072019,Pituffik,Pituffik Ice Wall Head,31/07/2019,0.623,0.263,0.231,0.21,0.114,0.17,0.031,0.065
2019_225_NorthRiverMouth_01082019,Pituffik,Pituffik Mouth,01/08/2019,0.651,0.257,0.247,0.223,0.08,0.135,0.022,0.051
2019_226_NorthRiverShelter2SouthFork_01082019,Pituffik,Pituffik Snoutwash,01/08/2019,0.607,0.26,0.2,0.197,0.151,0.193,0.042,0.081
2019_227_NorthRiverShelter5.8_01082019,Pituffik,Pituffik Ice Wall,01/08/2019,0.479,0.263,0.162,0.182,0.276,0.267,0.083,0.128
2018_009_SouthRiverMouth_1,Sioraq,Sioraq Mouth,18/06/2018,0.16,0.214,0.753,0.246,0.067,0.146,0.019,0.053
2018_026_FertilizerPlotLowerDrainage_1,Sioraq,Sioraq Blackmoss,22/06/2018,0.531,0.337,0.21,0.276,0.221,0.263,0.038,0.086
2018_034_SouthRiverMouth_1,Sioraq,Sioraq Mouth,23/06/2018,0.166,0.219,0.741,0.253,0.073,0.155,0.019,0.053
2018_045_SouthRiverMouth_1,Sioraq,Sioraq Mouth,27/06/2018,0.137,0.187,0.776,0.232,0.069,0.15,0.018,0.049
2018_090_SouthRiverMouth_1,Sioraq,Sioraq Mouth,02/07/2018,0.294,0.291,0.298,0.319,0.366,0.326,0.042,0.096
2018_124_FoxCanyonBridgeNorthFork_1,Sioraq,Sioraq Tuto,07/07/2018,0.304,0.314,0.639,0.311,0.043,0.103,0.015,0.044
2018_125_FoxCanyonBridgeSouthFork_1,Sioraq,Sioraq Pingorsuit,07/07/2018,0.1,0.153,0.86,0.17,0.029,0.075,0.011,0.035
2018_126_FoxCanyonBridgeJointFlow_07.07.18,Sioraq,Other Sioraq,07/07/2018,0.177,0.231,0.767,0.242,0.042,0.101,0.014,0.041
2018_137_SouthRiverMouth_1,Sioraq,Sioraq Mouth,08/07/2018,0.345,0.335,0.553,0.333,0.082,0.164,0.02,0.055
2018_143_SouthRiverMouth_1,Sioraq,Sioraq Mouth,11/07/2018,0.351,0.335,0.456,0.344,0.165,0.242,0.027,0.069
2018_144_FoxCanyonNorthFork_1,Sioraq,Sioraq Tuto,11/07/2018,0.36,0.336,0.542,0.336,0.078,0.157,0.019,0.055
2018_145_FoxCanyonSouthFork_1,Sioraq,Sioraq Pingorsuit,11/07/2018,0.082,0.129,0.87,0.157,0.035,0.088,0.013,0.04
2018_166_BlackMossWash_1,Sioraq,Sioraq Blackmoss,16/07/2018,0.634,0.333,0.201,0.271,0.138,0.207,0.027,0.069
2018_196_OldMineRiver_1,Sioraq,Sioraq Blackmoss,03/08/2018,0.706,0.301,0.14,0.231,0.124,0.194,0.03,0.078
2018_199_SouthRiverMouth_1,Sioraq,Sioraq Mouth,07/08/2018,0.695,0.289,0.094,0.186,0.159,0.221,0.052,0.108
2018_220_FoxCanyonNorthFork_1,Sioraq,Sioraq Tuto,15/08/2018,0.789,0.262,0.111,0.203,0.077,0.146,0.023,0.068
2018_221_FoxCanyonSouthFork_1,Sioraq,Sioraq Pingorsuit,15/08/2018,0.663,0.325,0.216,0.281,0.099,0.177,0.021,0.061
2018_225_SouthRiverMouth_1,Sioraq,Sioraq Mouth,16/08/2018,0.79,0.253,0.111,0.198,0.077,0.139,0.022,0.065
2018_235_FoxCanyonNorthFork_1,Sioraq,Sioraq Tuto,20/07/2018,0.396,0.348,0.406,0.342,0.169,0.249,0.029,0.073
2018_245_SouthRiverMouth_1,Sioraq,Sioraq Mouth,30/07/2018,0.434,0.343,0.297,0.319,0.233,0.274,0.037,0.086
2018_246_FoxCanyonNorthFork_1,Sioraq,Sioraq Tuto,27/07/2018,0.433,0.323,0.204,0.272,0.312,0.295,0.051,0.109
2018_247_FoxCanyonSouthFork_1,Sioraq,Sioraq Pingorsuit,27/07/2018,0.506,0.353,0.3,0.318,0.166,0.241,0.028,0.073
2018_249_FertilizerRidgeFlow_1,Sioraq,Sioraq Blackmoss,01/08/2018,0.432,0.321,0.2,0.271,0.316,0.297,0.052,0.109
2018_255_FoxCanyonNorthFork_1,Sioraq,Sioraq Tuto,03/08/2018,0.675,0.313,0.162,0.245,0.135,0.205,0.027,0.068
2018_256_FoxCanyonSouthFork_1,Sioraq,Sioraq Pingorsuit,03/08/2018,0.561,0.355,0.352,0.331,0.07,0.144,0.017,0.05
2018_257_SouthRiverMouth_1,Sioraq,Sioraq Mouth,04/08/2018,0.609,0.32,0.152,0.24,0.198,0.247,0.041,0.091
2018_268_SouthRiverMouth_1,Sioraq,Sioraq Mouth,20/08/2018,0.777,0.266,0.124,0.216,0.077,0.145,0.021,0.058
2019_004_SouthRiverMouth_17072019,Sioraq,Sioraq Mouth,17/07/2019,0.808,0.249,0.098,0.193,0.07,0.136,0.024,0.068
2019_005_FoxRiverBridgeNorthFork_17072019,Sioraq,Sioraq Tuto,17/07/2019,0.762,0.264,0.096,0.188,0.108,0.175,0.034,0.078
2019_006_FoxRiverBridgeSouthFork_17072019,Sioraq,Sioraq Pingorsuit,17/07/2019,0.805,0.257,0.122,0.216,0.055,0.122,0.017,0.054
2019_007_FoxRiverBridgeJoint_17072019,Sioraq,Other Sioraq,17/07/2019,0.812,0.237,0.097,0.184,0.068,0.129,0.023,0.068
2019_008_FertilizerRidgeDrainage_17072019,Sioraq,Sioraq Blackmoss,17/07/2019,0.778,0.253,0.084,0.174,0.1,0.169,0.038,0.091
2019_017_FoxRiverBridgeNorthFork_18072019,Sioraq,Sioraq Tuto,18/07/2019,0.793,0.255,0.111,0.201,0.073,0.136,0.023,0.067
2019_018_FoxRiverBridgeSouthFork_18072019,Sioraq,Sioraq Pingorsuit,18/07/2019,0.778,0.267,0.122,0.214,0.079,0.146,0.021,0.062
2019_026_SouthRiverMouth_19072019,Sioraq,Sioraq Mouth,19/07/2019,0.795,0.267,0.135,0.23,0.055,0.118,0.015,0.049
2019_059_SouthRiverMouth_22072019,Sioraq,Sioraq Mouth,22/07/2019,0.777,0.258,0.081,0.171,0.102,0.172,0.04,0.098
2019_093_FoxRiverBridgeNorthFork_25072019,Sioraq,Sioraq Tuto,25/07/2019,0.811,0.24,0.091,0.182,0.073,0.136,0.025,0.076
2019_094_FoxRiverBridgeSouthFork_25072019,Sioraq,Sioraq Pingorsuit,25/07/2019,0.722,0.271,0.064,0.147,0.14,0.212,0.075,0.143
2019_148_FertilizerRidgeDrainageJointFlow_27072019,Sioraq,Sioraq Blackmoss,27/07/2019,0.772,0.261,0.089,0.18,0.108,0.183,0.031,0.076
2019_149_FertilizerRidgeDrainageEastFork_27072019,Sioraq,Sioraq Blackmoss,27/07/2019,0.803,0.247,0.102,0.193,0.071,0.133,0.023,0.065
2019_150_FertilizerRidgeDrainageSouthFork_27072019,Sioraq,Sioraq Blackmoss,27/07/2019,0.78,0.251,0.083,0.168,0.103,0.171,0.035,0.082
2019_171_OldMineRiverDownstream_27072019,Sioraq,Sioraq Blackmoss,27/07/2019,0.809,0.243,0.092,0.181,0.074,0.141,0.025,0.073
2019_174_BlackmossRiverJointFlow_29072019,Sioraq,Sioraq Blackmoss,29/07/2019,0.702,0.288,0.082,0.174,0.153,0.219,0.062,0.126
2019_175_BlackmossRiverEastFork_29072019,Sioraq,Sioraq Blackmoss,29/07/2019,0.774,0.257,0.086,0.174,0.102,0.17,0.038,0.092
2019_176_BlackmossRiverSouthFork_29072019,Sioraq,Sioraq Blackmoss,29/07/2019,0.805,0.246,0.102,0.196,0.069,0.129,0.023,0.067
2019_178_UpperIceCanyonRiverMorning_29072019,Sioraq,Sioraq Tuto Head,29/07/2019,0.826,0.241,0.109,0.204,0.049,0.11,0.016,0.053
2019_179_UpperIceCanyonRiverAfternoon_29072019,Sioraq,Sioraq Tuto Head,29/07/2019,0.802,0.25,0.1,0.191,0.074,0.141,0.024,0.071
2019_180_IceCanyonRiverPreBankSpring_29072019,Sioraq,Sioraq Tuto Head,29/07/2019,0.689,0.293,0.093,0.185,0.161,0.226,0.056,0.115
2019_185_IceCanyonAboveWaterfall_29072019,Sioraq,Sioraq Tuto Head,29/07/2019,0.307,0.256,0.067,0.133,0.332,0.361,0.294,0.287
2019_187_IceCanyonBelowWaterfall_29072019,Sioraq,Sioraq Tuto Head,29/07/2019,0.8,0.25,0.102,0.191,0.074,0.145,0.025,0.071
2019_191_UpperNorthForkFoxCanyon_29072019,Sioraq,Sioraq Tuto Head,29/07/2019,0.703,0.286,0.082,0.173,0.157,0.224,0.058,0.117
2019_192_FoxCanyonBridgeNorthFork_29072019,Sioraq,Sioraq Tuto,29/07/2019,0.774,0.256,0.083,0.173,0.106,0.177,0.037,0.089
2019_193_FoxCanyonBridgeSouthFork_29072019,Sioraq,Sioraq Pingorsuit,29/07/2019,0.82,0.239,0.087,0.185,0.068,0.133,0.025,0.071
2019_194_FoxCanyonBridgeJointFlow_29072019,Sioraq,Other Sioraq,29/07/2019,0.706,0.281,0.077,0.17,0.148,0.216,0.069,0.133
2019_195_SouthRiverMouth_29072019,Sioraq,Sioraq Mouth,29/07/2019,0.373,0.28,0.066,0.14,0.295,0.34,0.267,0.283
2019_228_SouthRiverMouth_01082019,Sioraq,Sioraq Mouth,01/08/2019,0.811,0.242,0.096,0.19,0.069,0.138,0.024,0.069
2019_229_FoxCanyonBridgeNorthFork_01082019,Sioraq,Sioraq Tuto,01/08/2019,0.809,0.242,0.101,0.197,0.066,0.126,0.024,0.066
2019_230_FoxCanyonBridgeSouthFork_01082019,Sioraq,Sioraq Pingorsuit,01/08/2019,0.717,0.28,0.067,0.159,0.143,0.216,0.073,0.145
2019_232_IceRampPoolRiver_01082019,Sioraq,Sioraq Tuto Head,01/08/2019,0.7,0.28,0.088,0.177,0.156,0.216,0.056,0.113
2018_010_NorthRiverMouth_1,Pituffik,Pituffik Mouth,18/06/2018,0.121,0.225,0.758,0.304,0.102,0.219,0.019,0.059
2018_032_NorthRiverMouth_1,Pituffik,Pituffik Mouth,23/06/2018,0.11,0.212,0.817,0.257,0.057,0.149,0.016,0.051
2018_033_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,23/06/2018,0.034,0.09,0.937,0.121,0.021,0.07,0.008,0.03
2018_043_NorthRiverMouth_1,Pituffik,Pituffik Mouth,27/06/2018,0.159,0.269,0.72,0.332,0.103,0.218,0.019,0.056
2018_044_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,27/06/2018,0.033,0.085,0.942,0.116,0.018,0.07,0.007,0.027
2018_047_IceWallStream_1,Pituffik,Pituffik Ice Wall Head,27/06/2018,0.03,0.08,0.935,0.126,0.026,0.088,0.009,0.034
2018_089_NorthRiverMouth_1,Pituffik,Pituffik Mouth,02/07/2018,0.27,0.311,0.299,0.361,0.392,0.357,0.038,0.097
2018_134_NorthRiverMouth_1,Pituffik,Pituffik Mouth,08/07/2018,0.391,0.388,0.467,0.398,0.122,0.227,0.02,0.059
2018_135_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,08/07/2018,0.616,0.385,0.299,0.369,0.07,0.163,0.014,0.047
2018_136_NorthRiverShelter5.8_08.07.18,Pituffik,Pituffik Ice Wall,08/07/2018,0.126,0.231,0.795,0.276,0.063,0.163,0.016,0.048
2018_140_NorthRiverMouth_1,Pituffik,Pituffik Mouth,11/07/2018,0.253,0.323,0.438,0.396,0.276,0.339,0.033,0.087
2018_141_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,11/07/2018,0.479,0.392,0.327,0.376,0.169,0.262,0.025,0.072
2018_142_NorthRiverShelter5.8_11.07.18,Pituffik,Pituffik Ice Wall,11/07/2018,0.035,0.089,0.938,0.119,0.02,0.07,0.008,0.029
2018_198_NorthRiverMouth_1,Pituffik,Pituffik Mouth,07/08/2018,0.773,0.301,0.121,0.254,0.084,0.169,0.022,0.063
2018_208_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,10/08/2018,0.726,0.315,0.118,0.252,0.125,0.207,0.03,0.079
2018_209_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,10/08/2018,0.72,0.332,0.172,0.298,0.088,0.167,0.02,0.058
2018_211_IceWallStream_1,Pituffik,Pituffik Ice Wall Head,10/08/2018,0.73,0.328,0.16,0.288,0.089,0.17,0.021,0.059
2018_217_NorthRiverMouth_1,Pituffik,Pituffik Mouth,15/08/2018,0.744,0.331,0.177,0.3,0.063,0.139,0.016,0.052
2018_218_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,15/08/2018,0.776,0.313,0.154,0.288,0.055,0.128,0.015,0.048
2018_219_NorthRiverShelter5.8_15.08.18,Pituffik,Pituffik Ice Wall,15/08/2018,0.633,0.363,0.191,0.313,0.148,0.23,0.029,0.078
2018_231_NorthRiverMouth_1,Pituffik,Pituffik Mouth,19/07/2018,0.45,0.396,0.414,0.393,0.115,0.216,0.021,0.066
2018_232_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,19/07/2018,0.545,0.364,0.189,0.304,0.229,0.289,0.037,0.089
2018_242_NorthRiverMouth_1,Pituffik,Pituffik Mouth,30/07/2018,0.432,0.39,0.366,0.387,0.176,0.27,0.026,0.074
2018_243_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,30/07/2018,0.297,0.278,0.089,0.195,0.504,0.358,0.11,0.19
2018_244_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,30/07/2018,0.185,0.267,0.384,0.387,0.398,0.373,0.033,0.091
2018_252_NorthRiverMouth_1,Pituffik,Pituffik Mouth,03/08/2018,0.564,0.379,0.25,0.345,0.159,0.25,0.027,0.071
2018_253_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,03/08/2018,0.212,0.233,0.05,0.129,0.485,0.4,0.253,0.297
2018_254_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,03/08/2018,0.47,0.396,0.4,0.388,0.109,0.208,0.021,0.061
2018_280_NorthRiverMouth_1,Pituffik,Pituffik Mouth,20/08/2018,0.667,0.372,0.253,0.351,0.064,0.145,0.016,0.052
2019_001_NorthRiverMouth_17072019,Pituffik,Pituffik Mouth,17/07/2019,0.696,0.347,0.188,0.308,0.096,0.18,0.019,0.057
2019_002_NorthRiverShelter2SouthFork_17072019,Pituffik,Pituffik Snoutwash,17/07/2019,0.727,0.342,0.194,0.313,0.062,0.145,0.016,0.051
2019_003_NorthRiverShelter5.8_17072019,Pituffik,Pituffik Ice Wall,17/07/2019,0.71,0.342,0.18,0.304,0.09,0.172,0.021,0.063
2019_023_NorthRiverMouth_19072019,Pituffik,Pituffik Mouth,19/07/2019,0.599,0.392,0.316,0.377,0.068,0.154,0.016,0.052
2019_024_NorthRiverShelterSouthFork_19072019,Pituffik,Pituffik Snoutwash,19/07/2019,0.647,0.376,0.273,0.357,0.065,0.148,0.015,0.051
2019_025_NorthRiverShelter5.8_19072019,Pituffik,Pituffik Ice Wall,19/07/2019,0.6,0.391,0.315,0.374,0.07,0.158,0.015,0.049
2019_056_NorthRiverMouth_22072019,Pituffik,Pituffik Mouth,22/07/2019,0.739,0.304,0.104,0.233,0.125,0.208,0.032,0.081
2019_057_NorthRiverShelter2SouthFork_22072019,Pituffik,Pituffik Snoutwash,22/07/2019,0.747,0.303,0.1,0.227,0.119,0.205,0.034,0.084
2019_058_NorthRiverShelter5.8_22072019,Pituffik,Pituffik Ice Wall,22/07/2019,0.773,0.315,0.157,0.29,0.056,0.13,0.014,0.044
2019_088_NorthRiverShelter2SouthFork_23072019,Pituffik,Pituffik Snoutwash,23/07/2019,0.734,0.307,0.106,0.231,0.129,0.212,0.03,0.077
2019_117_IceWallRiver_NriverHead_25072019,Pituffik,Pituffik Ice Wall Head,25/07/2019,0.7,0.349,0.19,0.311,0.092,0.177,0.018,0.058
2019_142_NorthRiverMouth_26072019,Pituffik,Pituffik Mouth,26/07/2019,0.42,0.32,0.1,0.218,0.387,0.342,0.093,0.168
2019_143_NorthRiverShelter2SouthFork_26072019,Pituffik,Pituffik Snoutwash,26/07/2019,0.706,0.346,0.186,0.309,0.091,0.184,0.018,0.053
2019_144_NorthRiverShelter5.8_26072019,Pituffik,Pituffik Ice Wall,26/07/2019,0.706,0.357,0.218,0.333,0.061,0.138,0.015,0.046
2019_197_NorthRiverMouth_30072019,Pituffik,Pituffik Mouth,30/07/2019,0.725,0.327,0.164,0.289,0.09,0.171,0.021,0.063
2019_198_NorthRiverShelter2SouthFork_30072019,Pituffik,Pituffik Snoutwash,30/07/2019,0.727,0.347,0.196,0.321,0.061,0.134,0.016,0.057
2019_199_NorthRiverShelter5.8_30072019,Pituffik,Pituffik Ice Wall,30/07/2019,0.544,0.332,0.107,0.233,0.282,0.309,0.066,0.125
2019_200_NorthRiverMouthLateAfternoonMaxFlow_30072019,Pituffik,Pituffik Mouth,30/07/2019,0.428,0.325,0.091,0.207,0.379,0.35,0.103,0.176
2019_209_IceWallRiverHikeStart_31072019,Pituffik,Pituffik Ice Wall Head,31/07/2019,0.728,0.311,0.114,0.246,0.127,0.209,0.032,0.083
2019_210_IceWallRiverHikeEnd_31072019,Pituffik,Pituffik Ice Wall Head,31/07/2019,0.749,0.314,0.141,0.274,0.088,0.165,0.022,0.065
2019_211_IceWallRiverUpperIceWall_31072019,Pituffik,Pituffik Ice Wall Head,31/07/2019,0.729,0.332,0.166,0.294,0.085,0.166,0.02,0.059
2019_212_IceWallRiverBelowWaterslide_31072019,Pituffik,Pituffik Ice Wall Head,31/07/2019,0.759,0.313,0.133,0.268,0.087,0.172,0.021,0.061
2019_213_IceWallRiverMiddleWaterslide_31072019,Pituffik,Pituffik Ice Wall Head,31/07/2019,0.772,0.316,0.156,0.286,0.055,0.127,0.016,0.053
2019_214_IceWallRiverUpperWaterslide_31072019,Pituffik,Pituffik Ice Wall Head,31/07/2019,0.697,0.349,0.191,0.313,0.091,0.178,0.021,0.062
2019_225_NorthRiverMouth_01082019,Pituffik,Pituffik Mouth,01/08/2019,0.731,0.343,0.197,0.32,0.057,0.131,0.015,0.051
2019_226_NorthRiverShelter2SouthFork_01082019,Pituffik,Pituffik Snoutwash,01/08/2019,0.701,0.332,0.141,0.271,0.131,0.217,0.028,0.07
2019_227_NorthRiverShelter5.8_01082019,Pituffik,Pituffik Ice Wall,01/08/2019,0.532,0.332,0.109,0.23,0.294,0.31,0.066,0.131
2018_009_SouthRiverMouth_1,Sioraq,Sioraq Mouth,18/06/2018,0.222,0.21,0.679,0.239,0.079,0.154,0.02,0.049
2018_026_FertilizerPlotLowerDrainage_1,Sioraq,Sioraq Blackmoss,22/06/2018,0.503,0.302,0.222,0.247,0.23,0.26,0.045,0.086
2018_034_SouthRiverMouth_1,Sioraq,Sioraq Mouth,23/06/2018,0.216,0.211,0.687,0.236,0.077,0.15,0.02,0.049
2018_045_SouthRiverMouth_1,Sioraq,Sioraq Mouth,27/06/2018,0.2,0.2,0.704,0.229,0.075,0.151,0.02,0.048
2018_090_SouthRiverMouth_1,Sioraq,Sioraq Mouth,02/07/2018,0.314,0.267,0.276,0.279,0.364,0.317,0.046,0.09
2018_124_FoxCanyonBridgeNorthFork_1,Sioraq,Sioraq Tuto,07/07/2018,0.358,0.282,0.583,0.277,0.044,0.092,0.016,0.039
2018_125_FoxCanyonBridgeSouthFork_1,Sioraq,Sioraq Pingorsuit,07/07/2018,0.148,0.159,0.808,0.172,0.031,0.069,0.013,0.034
